MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1994,4,6.000177,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,5,5.872698,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,6,6.111767,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,7,6.220659,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,8,6.345064,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,9,5.857132,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,10,6.05067,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,11,6.07539,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,12,6.846502,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1994,13,76.149278,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,1,7.028515,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,2,6.561758,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,3,6.633216,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,4,6.039398,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,5,6.035281,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,6,6.06616,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,7,6.361742,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,8,6.674332,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,9,6.040399,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,10,6.083335,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,11,6.451528,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,12,7.187681,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1995,13,77.162044,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,1,7.499915,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,2,6.934096,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,3,6.969688,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,4,6.266615,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,5,6.272672,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,6,6.221216,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1996,7,6.492192,4,Total Fossil Fuels Consumption,Quadrillion Btu
